id,title,txt_length_chars,txt_lenght_words,meridiano,genre
S001,Passatempi,2164,416,III,racconto
S002,Dieci soldi in plastilina,4066,727,III,racconto
S003,Invece era un'altra,986,177,III,racconto
S004,Angoscia in caserma,19473,3127,I,racconto
S005,Andato al comando,10457,1753,I,racconto
S006,Di padre in figlio,8291,1384,I,racconto
S007,Paura sul sentiero,13175,2184,I,racconto
S008,E il settimo si riposò,12532,2234,III,racconto
S009,Uomo nei gerbidi,9042,1524,I,racconto
S010,Campo di mine,9702,1635,I,racconto
S011,I fratelli Bagnasco,9240,1644,I,racconto
S012,Ragionamento del cugino,7490,1296,III,racconto
S013,Cinque dopodomani: guerra finita!,7287,1177,III,racconto
S014,Alba sui rami nudi,13871,2310,I,racconto
S015,Come non fui Noè (Buon a nulla),9027,1507,III,racconto
S016,Ultimo viene il corvo,10809,1862,I,racconto
S017,Visti alla mensa,8658,1428,I,racconto
S018,L'occhio del padrone,10063,1720,I,racconto
S019,Come un volo d'anitre,11326,1905,III,racconto
S020,La fame a Bévera,11391,1922,I,racconto
S021,Furto in una pasticceria,14106,2352,I,racconto
S022,Un bastimento carico di granchi,9906,1649,I,racconto
S023,I figli poltroni,9860,1747,I,racconto
S024,Il giardino incantato,8487,1396,I,racconto
S025,Impiccagione di un giudice,15971,2565,I,racconto
S026,Il bosco degli animali,15495,2656,I,racconto
S027,Si dorme come cani,12910,2204,I,racconto
S028,Com'era grande il mare,3554,616,III,racconto
S029,Il gatto e il poliziotto,12933,2108,I,racconto
S030,Pranzo con un pastore,14313,2402,I,racconto
S031,Voglia di mare,5327,866,III,racconto
S032,Isabella e Fioravanti,9727,1583,III,racconto
S033,Chi ha messo la mina nel mare?,10473,1727,I,racconto
S034,Dollari e vecchie mondane,21698,3593,I,racconto
S035,Freddo a Napoli,8005,1345,III,racconto
S036,Lasciare Anna,9089,1537,III,racconto
S037,"Un pomeriggio, Adamo",16625,2725,I,racconto
S038,La casa degli alveari,7418,1301,I,racconto
S039,La stessa cosa del sangue,12987,2175,I,racconto
S040,Attesa della morte in un albergo,15582,2525,I,racconto
S041,Uno dei tre è ancora vivo,14887,2508,I,racconto
S042,L'avventura di un soldato,19767,3212,I,racconto
S043,Desiderio in novembre,14101,2310,I,racconto
S044,Lettera ad Amelia sui dischi volanti,7633,1264,III,racconto
S045,Storia del soldato che portò il cannone a casa,11610,1961,III,racconto
S046,"Pesci grossi, pesci piccoli",16862,2863,II,racconto
S047,Cimitero di biciclette,12416,2111,III,racconto
S048,Mai nessuno degli uomini lo seppe,15006,2587,II,racconto
S049,Il reggimento smarrito,10193,1603,III,racconto
S050,L'avventura di una bagnante,21333,3514,II,racconto
